Categoría,Lenguaje / Tecnología,Frameworks / Librerías / Herramientas destacadas
"Front-end / Markup / Styling","HTML","N/A (lenguaje de marcado)"
"Front-end / Markup / Styling","CSS","Bootstrap; Tailwind CSS; Foundation; Bulma; Materialize; Semantic UI; Pure.css; Milligram; Tachyons; Skeleton; Primer CSS"
"Front-end / Markup / Styling","Sass (SCSS)","Bourbon; Compass (históricos)"
"Front-end / Markup / Styling","Less","N/A (preprocesador)"
"Front-end / Markup / Styling","Stylus","N/A (preprocesador)"
"Front-end / Markup / Styling","PostCSS","Autoprefixer; cssnano; postcss-preset-env"
"Front-end / Markup / Styling","Styled Components","CSS-in-JS (React)"
"Front-end / Markup / Styling","Emotion","CSS-in-JS (React)"
"Front-end / Markup / Styling","Stitches","CSS-in-JS (lib)"
"Front-end / Markup / Styling","Vanilla Extract","CSS-in-TS (lib)"
"JavaScript / TypeScript (Front-end)","JavaScript (Front-end)","React; Angular; Vue; Ember.js; Svelte; Preact; Alpine.js; Solid.js; Qwik; Polymer"
"JavaScript / TypeScript (Front-end)","TypeScript (Front-end)","(Mismas libs JS) + Deno (runtime); RedwoodJS"
"JavaScript / TypeScript (Front-end)","SSR/SSG frameworks","Next.js; Nuxt.js; Gatsby; SvelteKit; Remix; Astro; Eleventy"
"JavaScript / TypeScript (Back-end)","Node.js","Express; Koa; Hapi; Sails.js; Feathers; Fastify; Meteor"
"JavaScript / TypeScript (Back-end)","NestJS","TypeORM; Prisma; Sequelize (ORMs); Passport (auth)"
"JavaScript / TypeScript (Back-end)","Deno","Fresh; Aleph.js (experimentales)"
"JavaScript / TypeScript (Back-end)","Build Tools / Bundlers","Webpack; Rollup; Parcel; Vite; Snowpack; esbuild; Turbopack"
"Java (Back-end / Full Stack)","Java","Spring / Spring Boot; Jakarta EE; Hibernate; Micronaut; Quarkus; Vaadin; JSF; GWT; Struts"
"Java (Back-end / Full Stack)","Build Tools","Maven; Gradle; Ant (histórico)"
"Python (Back-end / Data / Full Stack)","Python (Web)","Django; Flask; FastAPI; Pyramid; Tornado; web2py; CherryPy; Bottle; Hug; Falcon"
"Python (Back-end / Data / Full Stack)","Python (Data/ML)","NumPy; SciPy; Pandas; PyTorch; TensorFlow; Keras; Scikit-learn; XGBoost; LightGBM"
"Python (Back-end / Data / Full Stack)","Python (Visualización)","Matplotlib; Plotly; Seaborn; Bokeh; Dash"
"Python (Back-end / Data / Full Stack)","Python (HPC)","Dask; Ray; PySpark; mpi4py; Horovod; Rapids.ai"
"C# (Back-end / Desktop / Juegos)","C#",".NET Framework / .NET Core; ASP.NET Core; Blazor; Unity; Xamarin; MAUI; WPF; WinForms; NancyFX"
"C# (Back-end / Desktop / Juegos)","Build Tools","MSBuild; NuGet (paquetería)"
"C++ (Multiuso / OOP)","C++","Qt; Boost; POCO; wxWidgets; SFML; JUCE; Ogre3D; Unreal Engine (API); OpenFrameworks; Cinder; OpenCV; CGAL"
"C++ (Multiuso / OOP)","Compilación / Build Tools","CMake; Meson; Autotools; Ninja"
"PHP (Back-end / CMS)","PHP","Laravel; Symfony; CodeIgniter; Zend (Laminas); CakePHP; Yii; WordPress; Joomla; Drupal; Magento; PrestaShop; phpBB; MediaWiki"
"PHP (Back-end / CMS)","Build Tools / Paquetes","Composer"
"Ruby","Ruby (Web)","Ruby on Rails; Sinatra; Hanami; Padrino"
"Ruby","Gestión de gemas / Paquetes","Bundler; Rake"
"Go (Golang)","Go (Back-end / Full Stack)","Gin; Echo; Beego; Buffalo; Fiber; gRPC-Go; Revel"
"Rust (Multi-paradigma)","Rust","Rocket; Actix; Tokio; Axum; Tonic; Yew (front-end); Warp"
"Rust (Multi-paradigma)","Build / Paquetes","Cargo (oficial)"
"Scala (JVM)","Scala","Play Framework; Akka; Lift; Scalatra; Spark (API en Scala); sbt"
"Kotlin (JVM / Android / Full Stack)","Kotlin","Ktor; Spring Boot (Kotlin); TornadoFX; Javalin; Exposed (ORM); Kotlin Multiplatform"
"Kotlin (JVM / Android / Full Stack)","Build Tools","Gradle (Kotlin DSL); Maven"
"Dart (Front-end / Mobile)","Dart","Flutter; AngularDart; (Aqueduct discontinuado)"
"El ecosistema .NET (F# / VB .NET)","F#","Giraffe; SAFE Stack"
"El ecosistema .NET (F# / VB .NET)","Visual Basic (.NET)","WinForms, WPF; VB6 (histórico)"
"Front-end / Cross-platform (Adicionales)","Ionic","Angular/React/Vue + Capacitor"
"Front-end / Cross-platform (Adicionales)","NativeScript","Angular/JS/TS para apps nativas"
"Front-end / Cross-platform (Adicionales)","Electron","Usa JS/HTML/CSS para escritorio"
"ML / Data (adicional)","R","Shiny; Tidyverse; RMarkdown; Plumber; data.table; Caret"
"ML / Data (adicional)","Julia","Genie.jl; Flux.jl; IHP.jl; JuMP; Pluto.jl"
"Ruby / Erlang / Elixir","Erlang","OTP; Cowboy; RabbitMQ"
"Ruby / Erlang / Elixir","Elixir","Phoenix; Nerves; Ecto"
"Markup / DSL","SQL","N/A (ORMs: Hibernate, Sequelize, Doctrine...)"
"Markup / DSL","XSLT","Saxon; Xalan"
"Markup / DSL","WebAssembly","Emscripten; Blazor WebAssembly; AssemblyScript"
"Markup / DSL","Ladder Logic (PLC)","Rockwell; Siemens Step 7; Codesys"
"Markup / DSL","MATLAB","Simulink; Toolboxes (Control, Signal...); Stateflow"
"HPC / Paralelos","CUDA","cuBLAS; cuDNN; Thrust; NCCL"
"HPC / Paralelos","OpenCL","clBLAS; clFFT; ArrayFire"
"HPC / Paralelos","MPI (C/C++/Fortran)","MPICH; OpenMPI; MVAPICH"
"HPC / Paralelos","OpenMP (C/C++/Fortran)","Directivas #pragma; Intel OpenMP"
"HPC / Paralelos","Chapel","N/A (librerías estándar)"
"HPC / Paralelos","X10","N/A (librerías X10 runtime)"
"HPC / Paralelos","Fortress","N/A (prototipo discontinuado)"
"Lenguajes funcionales puros","Haskell","Yesod; Snap; Scotty; Servant; Persistent; Conduit"
"Lenguajes funcionales puros","ML","SML/NJ libs; Moscow ML libs"
"Lenguajes funcionales puros","OCaml","Ocsigen; Core/Async; Reason/Rescript"
"Lenguajes funcionales puros","Scheme","Racket; Chicken Scheme; Guile"
"Lenguajes funcionales puros","Lisp","Common Lisp (Quicklisp); CL-WHO; UCW"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","Apex (Salesforce)","Lightning Web Components; Visualforce"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","ABAP (SAP)","SAP NetWeaver; SAPUI5; NW ABAP"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","LabVIEW","Entorno LabVIEW; NI Toolkits"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","Wolfram Language","Wolfram Cloud; WolframAlpha API; Wolfram Engine"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","ActionScript","Adobe Flex; Robotlegs; Starling"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","MQL4/MQL5","MetaTrader (Expert Advisors)"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","PeopleCode","PeopleSoft (Oracle)"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","Visual FoxPro","N/A (entorno propio)"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","PL/SQL","Oracle APEX; Oracle Forms"
"Lenguajes propietarios / CRM / ERP / Grandes plataformas","T-SQL","N/A (SQL Server scripts/SPs)"
"Imperativos / Históricos (adicionales)","COBOL","IBM Enterprise COBOL; Micro Focus COBOL"
"Imperativos / Históricos (adicionales)","Ada","GNAT libs; AdaCore frameworks"
"Imperativos / Históricos (adicionales)","Pascal","Delphi; Free Pascal libs"
"Imperativos / Históricos (adicionales)","Fortran","LAPACK; BLAS; MKL; NAG libs"
"Imperativos / Históricos (adicionales)","BASIC","GW-BASIC; QBASIC; VB.NET (modern); FreeBASIC (alternativa open-source)"
"Imperativos / Históricos (adicionales)","Forth","gforth libs; polyForth; SwiftForth"
"Esotéricos","Brainfuck","N/A"
"Esotéricos","INTERCAL","N/A"
"Esotéricos","Malbolge","N/A"
"Esotéricos","Piet","N/A"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Arch / CAD / BIM","Autodesk Revit (Dynamo DSL); Grasshopper (Rhino); GDL (ArchiCAD); SketchUp Ruby API"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Aeroespacial","OpenMDAO (Python NASA); SU2 (C++/Python CFD); GMAT (NASA); FreeFlyer"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Partículas / Física","ROOT (CERN, C++); Geant4; FLUKA; Garfield; Mad-X; CMSSW (CERN, C++/Python)"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Medicina / Imagen Médica","ITK (C++); VTK; 3D Slicer (C++/Python); SimpleITK; dcm4che (Java); Nipype (Python); medPy"
"Ingeniería / Arquitectura / Aeroespacial / Partículas / Medicina / Pharma","Bioinformática / Pharma","SAS; R (Bioconductor); Python (BioPython, rdkit, PyMol APIs); Julia (BioJulia); Perl (BioPerl); Nextflow; Snakemake"
"Scripting / Admin de Sistemas","Bash","Shell scripting (GNU/Linux, Unix)"
"Scripting / Admin de Sistemas","Zsh","Shell scripting; oh-my-zsh"
"Scripting / Admin de Sistemas","ksh (KornShell)","Shell scripting (histórico en Unix)"
"Scripting / Admin de Sistemas","tcsh / csh","Shell scripting (C-like syntax, histórico)"
"Scripting / Admin de Sistemas","Fish Shell","Shell interactivo friendly"
"Scripting / Admin de Sistemas","PowerShell","PSFramework; DSC; Pester"
"Scripting / Admin de Sistemas","Cmd (Windows)","Batch scripting (histórico, .bat/.cmd)"
"Scripting / Admin de Sistemas","Google Apps Script","Scripting Google Workspace, basado en JavaScript"
"Scripting / Admin de Sistemas","AutoHotkey (Windows)","Automatización de escritorio, macros"
"Scripting / Admin de Sistemas","Expect","Scripting interactivo (autom. en terminales)"
"DevOps / Infra as Code / Config Management","Docker","Dockerfile; Docker Compose"
"DevOps / Infra as Code / Config Management","Kubernetes","Helm; Kustomize"
"DevOps / Infra as Code / Config Management","Terraform","HashiCorp Terraform (HCL)"
"DevOps / Infra as Code / Config Management","Ansible","Playbooks (YAML); Galaxy"
"DevOps / Infra as Code / Config Management","Chef","Cookbooks; Recipes"
"DevOps / Infra as Code / Config Management","Puppet","Manifests; Modules"
"DevOps / Infra as Code / Config Management","SaltStack","States; Pillars; Salt Cloud"
"DevOps / Infra as Code / Config Management","Vagrant","Provisionamiento dev (Vagrantfiles)"
"CI/CD / Automation Tools","Jenkins","Jenkinsfile; Plugins"
"CI/CD / Automation Tools","GitLab CI/CD",".gitlab-ci.yml"
"CI/CD / Automation Tools","GitHub Actions","Workflows (.yml); Marketplace actions"
"CI/CD / Automation Tools","CircleCI","config.yml"
"CI/CD / Automation Tools","Travis CI",".travis.yml"
"CI/CD / Automation Tools","Azure DevOps Pipelines","YAML pipelines; Classic UI"
"CI/CD / Automation Tools","Argo","Argo Workflows; Argo CD"
"CI/CD / Automation Tools","Tekton","Tekton Pipelines"
"Terminales (Clásicos / Emuladores) / TUI","VT100 / ANSI / XTerm","N/A (protocolos / secuencias ESC)"
"Terminales (Clásicos / Emuladores) / TUI","GNU Screen","Multiplexación de terminal"
"Terminales (Clásicos / Emuladores) / TUI","tmux","Multiplexador de terminal"
"Terminales (Clásicos / Emuladores) / TUI","ncurses","Biblioteca para UIs en terminal (C/C++)"
"Terminales (Clásicos / Emuladores) / TUI","whiptail / dialog","Interfaces de menú en shell"
"Terminales (Clásicos / Emuladores) / TUI","ConEmu / cmder (Win)","Emuladores de terminal Windows"
"Terminales (Clásicos / Emuladores) / TUI","iTerm2 (macOS)","Terminal avanzado macOS"
"Terminales (Clásicos / Emuladores) / TUI","rxvt / urxvt","Terminal ligero en X11"
"Terminales (Clásicos / Emuladores) / TUI","AppleScript","Scripting en macOS (Automator)"
"Terminales (Clásicos / Emuladores) / TUI","FreeDOS / 4DOS","DOS OS/terminal alternativos" 